Concept,Notes
"The actor model: each actor has mailbox, processes messages sequentially; no shared state; communicates only via messages; fault tolerant; e.g., Erlang, Akka.",actor model: mailbox + sequential message processing; no shared state; message-only comms; Erlang/Akka
Rate limiting strategies: token bucket (burst allowed up to bucket size); leaky bucket (constant outflow rate); sliding window log; fixed window counter.,rate limiting: token bucket (burst to bucket size); leaky bucket (constant rate); sliding window; fixed window
"The CAP theorem in practice: CP systems (Zookeeper, HBase) sacrifice availability; AP systems (Cassandra, DynamoDB) sacrifice consistency; CA = no partition tolerance (unrealistic).",CAP practice: CP=Zookeeper/HBase (sacrifice availability); AP=Cassandra/DynamoDB (sacrifice consistency); CA = unrealistic
"Index types in databases: B-tree index (range queries, equality, ORDER BY); hash index (equality only); GiST (geometric, full-text); covering index includes all query columns.",DB indexes: B-tree (range+equality+sort); hash (equality only); GiST (geometric/text); covering index = all query cols
WebSocket protocol: full-duplex bidirectional communication over single TCP connection; starts with HTTP upgrade handshake; low overhead vs polling; use for real-time apps.,WebSocket: full-duplex over TCP; HTTP upgrade handshake; low overhead vs polling; real-time apps
Load balancing algorithms: round robin (equal distribution); least connections (route to least busy); IP hash (sticky sessions); weighted round robin (capacity-aware).,load balancing: round robin (equal); least connections (least busy); IP hash (sticky); weighted round robin (capacity)
"Circuit breaker pattern: closed (normal) → open (failing, reject requests) → half-open (test recovery); prevents cascade failures in microservices.",circuit breaker: closed→open (fail fast)→half-open (test); prevents cascade failures in microservices
Recursion: function calls itself; base case stops recursion; call stack depth = O(n) memory; tail recursion optimized by compiler to O(1) stack; memoize for DP.,recursion: self-call + base case; stack depth O(n); tail recursion → compiler optimizes to O(1); memoize for DP
"The CAP theorem holds only for single-partition scenarios; in practice BASE (Basically Available, Soft state, Eventually consistent) describes NoSQL systems.",BASE: Basically Available + Soft state + Eventually consistent; describes NoSQL; vs ACID for SQL
"Hashing collision resolution: chaining (linked list per bucket, O(n) worst); open addressing: linear probing (+1), quadratic probing (+k²), double hashing.","hash collision: chaining (linked list, O(n) worst); open addressing: linear probing / quadratic / double hashing"
The Ethernet protocol: CSMA/CD for collision detection on shared medium; switches use MAC address table; VLAN separates broadcast domains; full-duplex eliminates collisions.,Ethernet: CSMA/CD (collision detect); switches use MAC table; VLAN = separate broadcast domains; full-duplex = no collisions
"Functional programming: pure functions (no side effects), immutability, higher-order functions (map, filter, reduce), referential transparency; easier to reason and test.",functional programming: pure functions (no side effects) + immutability + HOF (map/filter/reduce) + referential transparency
"Dependency injection: components receive dependencies from outside (constructor, setter, interface injection); inversion of control; improves testability and modularity.",dependency injection: receive deps externally; IoC; types: constructor/setter/interface; ↑ testability + modularity
TLS handshake: client hello (cipher suites) → server hello (chosen cipher + certificate) → key exchange (asymmetric) → session keys established → symmetric encryption.,TLS: client hello → server hello + cert → key exchange (asymmetric) → session keys → symmetric encrypt
The UNIX philosophy: write programs that do one thing well; write programs to work together; write programs to handle text streams; small composable tools.,UNIX philosophy: 1 thing well + composable + text streams; small tools chained via pipe
The Riemann hypothesis conjectures that all non-trivial zeros of the zeta function lie on the critical line Re(s) = 1/2; unsolved; has Millennium Prize.,Riemann hypothesis: all non-trivial zeros of ζ(s) on Re(s)=1/2; unsolved; Millennium Prize
"Stokes' theorem: ∮_∂Ω ω = ∫_Ω dω; generalizes Green's, divergence, and classical Stokes theorems; relates boundary integral to interior derivative.",Stokes' theorem: ∮_∂Ω ω = ∫_Ω dω; generalizes Green's/divergence/classical Stokes; boundary ↔ interior
Complex numbers: z = a + bi; modulus |z| = √(a²+b²); argument θ = arctan(b/a); polar form z = r·e^(iθ) = r(cosθ + i sinθ).,complex numbers: z=a+bi; |z|=√(a²+b²); θ=arctan(b/a); polar: z=re^(iθ)=r(cosθ+i sinθ)
"The Cauchy-Schwarz inequality: |⟨u,v⟩|² ≤ ⟨u,u⟩·⟨v,v⟩; in R^n: (Σaᵢbᵢ)² ≤ (Σaᵢ²)(Σbᵢ²); equality iff vectors parallel.","Cauchy-Schwarz: |⟨u,v⟩|² ≤ |u|²|v|²; equality iff u∥v; in R^n: (Σaᵢbᵢ)² ≤ (Σaᵢ²)(Σbᵢ²)"
The divergence theorem: ∯_∂V F·dA = ∭_V (∇·F) dV; relates outward flux through closed surface to divergence within enclosed volume.,divergence theorem: ∯_∂V F·dA = ∭_V ∇·F dV; surface flux ↔ volume divergence
Taylor series expansion: f(x) = Σ f^(n)(a)/n! · (x-a)^n; for e^x = Σ x^n/n!; for sin x = x - x³/3! + x⁵/5! - ...; converges in radius of convergence.,Taylor series: f(x) = Σf^(n)(a)/n!·(x-a)^n; e^x=Σx^n/n!; sinx=x-x³/3!+x⁵/5!-...; valid within radius of convergence
Matrix multiplication: (AB)ᵢⱼ = Σₖ Aᵢₖ Bₖⱼ; not commutative (AB ≠ BA generally); associative; identity matrix I satisfies AI = IA = A.,matrix mult: (AB)ᵢⱼ = Σₖ Aᵢₖ Bₖⱼ; not commutative (AB≠BA); associative; AI=IA=A
The Fundamental Theorem of Algebra: every non-constant polynomial with complex coefficients has at least one complex root; degree n polynomial has exactly n roots (counting multiplicity).,FT Algebra: every degree-n complex polynomial has n roots (w/ multiplicity); at least 1 complex root always
Markov chains: system of states with transition probabilities; stationary distribution π satisfies πP = π; irreducible + aperiodic chains → unique stationary distribution.,Markov chains: states + transition probs P; stationary dist: πP=π; irreducible+aperiodic → unique stationary dist
Convex optimization: objective function and feasible set both convex; local minimum = global minimum; gradient descent converges; Lagrangian for constrained problems.,convex optimization: convex f + convex set; local min = global min; gradient descent converges; Lagrangian w/ constraints
The law of large numbers: sample mean converges to population mean as n → ∞; weak LLN (convergence in probability); strong LLN (almost sure convergence).,LLN: sample mean → population mean as n→∞; weak LLN (in probability); strong LLN (almost sure)
Linear algebra rank: rank = number of linearly independent rows = columns; rank-nullity theorem: rank + nullity = n (number of columns); full rank ↔ invertible for square matrices.,rank: linearly independent rows/cols; rank-nullity: rank + nullity = n; full rank ↔ invertible (square)
Differential equations: linear ODE y' + p(x)y = q(x); solution via integrating factor μ=e^(∫p dx); second order ay'' + by' + cy = 0; characteristic equation.,1st order linear ODE: y' + p(x)y = q(x); integrating factor μ=e^∫p dx; 2nd order: characteristic equation ar²+br+c=0
"The pigeonhole principle: if n items into m containers and n > m, at least one container holds ≥ 2 items; generalized: at least ⌈n/m⌉ items in some container.","pigeonhole: n items, m containers, n>m → ≥1 container w/ ≥2 items; generalized: ⌈n/m⌉ minimum"
Stirling's approximation: n! ≈ √(2πn)(n/e)^n; useful for combinatorics; ln(n!) ≈ n ln n - n + ½ ln(2πn).,Stirling: n! ≈ √(2πn)(n/e)^n; ln(n!) ≈ n ln n - n + ½ln(2πn); useful for large factorial estimates
The Chinese Remainder Theorem: system of congruences x ≡ aᵢ (mod nᵢ) with pairwise coprime moduli has unique solution modulo ∏nᵢ.,CRT: x≡aᵢ(mod nᵢ) w/ coprime moduli → unique solution mod ∏nᵢ
Graph theory: Euler path visits every edge once (if 0 or 2 odd-degree vertices); Euler circuit visits every edge once and returns (all even-degree vertices).,Euler: path visits all edges once = 0 or 2 odd-degree vertices; circuit = all even-degree vertices
The Gram-Schmidt process: converts linearly independent vectors into orthonormal basis; project and subtract to get orthogonal; normalize each vector.,Gram-Schmidt: independent vectors → orthonormal basis; subtract projections → orthogonal; then normalize
"Group theory: group (G, ·) requires closure, associativity, identity, inverses; abelian if commutative; subgroup H ≤ G; Lagrange: |H| divides |G|.","group (G,·): closure + associativity + identity + inverses; abelian = commutative; Lagrange: |H| divides |G|"
"The binomial theorem: (a+b)^n = Σₖ C(n,k) aⁿ⁻ᵏ bᵏ; C(n,k) = n!/(k!(n-k)!); Pascal's triangle gives coefficients.","binomial theorem: (a+b)^n = Σ C(n,k) a^(n-k) b^k; C(n,k)=n!/k!(n-k)!; Pascal's triangle = coefficients"
"L'Hôpital's rule: if lim f(x)/g(x) is 0/0 or ∞/∞, then lim f(x)/g(x) = lim f'(x)/g'(x); apply repeatedly if still indeterminate.",L'Hôpital: 0/0 or ∞/∞ → lim f/g = lim f'/g'; apply repeatedly if still indeterminate
"The Pythagorean triples: integer solutions to a² + b² = c²; primitive triples via m>n: a=m²-n², b=2mn, c=m²+n²; smallest (3,4,5).","Pythagorean triples: a²+b²=c²; primitive via m>n: a=m²-n², b=2mn, c=m²+n²; (3,4,5) smallest"
Topology: continuous deformations preserve topological properties; homeomorphism = bijective continuous map w/ continuous inverse; homotopy equivalence is coarser.,topology: continuous deformations preserve topological props; homeomorphism = bijective + continuous both ways
"The Möbius strip: non-orientable surface; one side, one edge; constructed by twisting strip 180° and joining ends; Klein bottle = non-orientable closed surface.","Möbius strip: non-orientable; 1 side, 1 edge; 180° twist + join; Klein bottle = non-orientable closed surface"
"Number theory: Fermat's little theorem: a^p ≡ a (mod p) for prime p; Euler's theorem: a^φ(n) ≡ 1 (mod n) for gcd(a,n)=1; basis of RSA.","Fermat's little: a^p ≡ a (mod p); Euler's: a^φ(n)≡1(mod n) if gcd(a,n)=1; basis of RSA"
Probability density function: ∫f(x)dx = 1 over all x; E[X] = ∫xf(x)dx; Var[X] = E[X²] - (E[X])²; CDF F(x) = P(X ≤ x).,PDF: ∫f(x)dx=1; E[X]=∫xf(x)dx; Var[X]=E[X²]-(E[X])²; CDF F(x)=P(X≤x)
"Eigendecomposition: A = PΛP⁻¹ where Λ = diagonal eigenvalue matrix, P = eigenvector matrix; requires distinct eigenvalues or diagonalizable matrix.",eigendecomposition: A=PΛP⁻¹; Λ=diag eigenvalues; P=eigenvectors; requires diagonalizable A
"The triangle inequality: |a + b| ≤ |a| + |b|; equality iff a and b same direction; generalizes to metric spaces d(x,z) ≤ d(x,y) + d(y,z).","triangle inequality: |a+b| ≤ |a|+|b|; equality iff same direction; metric spaces: d(x,z)≤d(x,y)+d(y,z)"
Fourier series: periodic function f(x) = a₀/2 + Σ(aₙcos(nωx) + bₙsin(nωx)); aₙ = (2/T)∫f(x)cos(nωx)dx; decomposes signal into harmonics.,Fourier series: f(x) = Σaₙcos(nωx)+bₙsin(nωx); aₙ=(2/T)∫f·cos dx; decomposes periodic signal into harmonics
The normal distribution: f(x) = (1/σ√2π) e^(-(x-μ)²/2σ²); 68-95-99.7 rule; standardize z = (x-μ)/σ; sum of normals is normal.,normal dist: f(x)=(1/σ√2π)e^(-(x-μ)²/2σ²); 68-95-99.7 rule; z=(x-μ)/σ; sum of normals = normal
Conditional probability: P(A|B) = P(A∩B)/P(B); independent events: P(A|B) = P(A); law of total probability: P(A) = ΣP(A|Bᵢ)P(Bᵢ).,conditional prob: P(A|B)=P(A∩B)/P(B); independent: P(A|B)=P(A); total prob: P(A)=ΣP(A|Bᵢ)P(Bᵢ)
The Fundamental Theorem of Calculus Part 1: d/dx ∫ₐˣ f(t)dt = f(x); differentiating an integral returns the integrand evaluated at upper limit.,FTC Part 1: d/dx ∫ₐˣ f(t)dt = f(x); differentiating integral → integrand at upper limit
"Linear programming: optimize cᵀx subject to Ax ≤ b, x ≥ 0; optimal solution at vertex of feasible polytope; solved by simplex method or interior point methods.","linear programming: minimize cᵀx s.t. Ax≤b, x≥0; optimal at vertex; simplex or interior point methods"
The Euler characteristic χ = V - E + F for polyhedra; for sphere χ=2; torus χ=0; non-orientable surface χ < 0; topological invariant.,Euler characteristic: χ = V-E+F; sphere χ=2; torus χ=0; topological invariant
Set theory: De Morgan's laws: (A∪B)ᶜ = Aᶜ∩Bᶜ; (A∩B)ᶜ = Aᶜ∪Bᶜ; complement of union = intersection of complements; applies to logic (not(A or B) = not A and not B).,De Morgan: (A∪B)ᶜ=Aᶜ∩Bᶜ; (A∩B)ᶜ=Aᶜ∪Bᶜ; logic: ¬(A∨B)=¬A∧¬B; ¬(A∧B)=¬A∨¬B
"Permutations and combinations: P(n,r) = n!/(n-r)! ordered selections; C(n,r) = n!/(r!(n-r)!) unordered; C(n,r) = C(n,n-r) symmetry.","permutations: P(n,r)=n!/(n-r)! (ordered); combinations: C(n,r)=n!/r!(n-r)! (unordered); C(n,r)=C(n,n-r)"
"Integration by parts: ∫u dv = uv - ∫v du; choose u by LIATE order (Logs, Inverse trig, Algebraic, Trig, Exponential); reduces integral complexity.",integration by parts: ∫u dv = uv - ∫v du; LIATE for choosing u; reduces complexity
"The squeeze theorem: if g(x) ≤ f(x) ≤ h(x) and lim g(x) = lim h(x) = L, then lim f(x) = L; used to prove lim sin(x)/x = 1 as x→0.",squeeze theorem: g≤f≤h and lim g=lim h=L → lim f=L; proves lim sin(x)/x=1 as x→0
"Abstract algebra: a ring has addition (abelian group) + multiplication (associative, distributive); field = commutative ring w/ multiplicative inverses for non-zero elements.",ring: abelian group under + with associative distributive ×; field = commutative ring + ×-inverses for nonzero
The Gaussian integral: ∫₋∞^∞ e^(-x²) dx = √π; ∫₋∞^∞ e^(-ax²) dx = √(π/a); derived via polar coordinate trick; central to probability and quantum mechanics.,Gaussian integral: ∫e^(-x²)dx=√π; ∫e^(-ax²)dx=√(π/a); polar coord trick; key in prob + QM
"Generating functions: transform sequence (a₀, a₁, ...) to power series A(x) = Σaₙxⁿ; multiplication of GFs = convolution of sequences; useful in combinatorics.",generating functions: seq → A(x)=Σaₙxⁿ; GF multiplication = sequence convolution; combinatorics tool
Number bases: binary (base-2) used in computing; hexadecimal (base-16) compact binary representation; convert decimal to binary by successive division by 2.,"number bases: binary (base-2, computing); hex (base-16, compact binary); decimal→binary: successive ÷2 w/ remainders"
The median: value where half the data lies above and half below; more robust to outliers than mean; calculated as middle value (odd n) or average of two middle (even n).,median: midpoint of sorted data; robust to outliers (vs mean); odd n=middle; even n=avg of 2 middle
"Lagrange multipliers: optimize f(x,y) subject to g(x,y)=c; condition ∇f = λ∇g; solve system with constraint; λ is shadow price in economics.",Lagrange multipliers: optimize f s.t. g=c; ∇f=λ∇g + constraint; λ=shadow price
"Expected value linearity: E[aX+bY] = aE[X]+bE[Y] regardless of dependence; E[XY] = E[X]E[Y] only if X,Y independent; useful for variance calculation.",E[aX+bY]=aE[X]+bE[Y] (linearity always); E[XY]=E[X]E[Y] only if independent; useful for Var[X+Y]
The inclusion-exclusion principle: |A∪B| = |A| + |B| - |A∩B|; for three sets: |A∪B∪C| = |A|+|B|+|C| - |A∩B| - |A∩C| - |B∩C| + |A∩B∩C|.,inclusion-exclusion: |A∪B|=|A|+|B|-|A∩B|; 3 sets: sum singles - sum pairs + triple intersection
Numerical methods: Newton-Raphson root finding: xₙ₊₁ = xₙ - f(xₙ)/f'(xₙ); quadratic convergence near root; requires differentiable f and good initial guess.,Newton-Raphson: xₙ₊₁=xₙ-f(xₙ)/f'(xₙ); quadratic convergence; requires differentiable f + good init guess
"Random variables: discrete (probability mass function), continuous (PDF); variance Var[X] = E[(X-μ)²] = E[X²]-μ²; standard deviation σ = √Var[X].",RV: discrete=PMF; continuous=PDF; Var[X]=E[(X-μ)²]=E[X²]-μ²; σ=√Var[X]
"The multiplier effect: an initial spending increase of $X leads to a total increase in GDP of $X/(1-MPC); if MPC=0.8, multiplier=5.",multiplier: ΔY = ΔSpending × 1/(1-MPC); MPC=0.8 → multiplier=5; Keynesian fiscal mechanism
"Rent-seeking behavior: firms/individuals expend resources to capture existing wealth rather than create new value; lobbying, regulatory capture; deadweight loss.",rent-seeking: resources spent capturing wealth ≠ creating value; lobbying/regulatory capture → deadweight loss
The Heckscher-Ohlin model predicts trade patterns based on factor endowments; capital-abundant countries export capital-intensive goods; labor-abundant export labor-intensive.,Heckscher-Ohlin: trade ∝ factor endowments; capital-abundant → export capital-intensive; labor-abundant → export labor-intensive
Public goods: non-rivalrous (one use doesn't diminish for others) + non-excludable (can't prevent free-riding); undersupplied by markets; government provision justified.,public goods: non-rivalrous + non-excludable; free-rider problem → market undersupply; ∴ govt provision justified
"The theory of second best: if one Pareto optimality condition cannot be satisfied, it is not necessarily desirable to satisfy others; piecemeal policy reforms may worsen welfare.","2nd best theory: if 1 Pareto condition fails, satisfying others may worsen welfare; piecemeal reforms dangerous"
"Monopolistic competition: many firms, differentiated products, free entry/exit; short-run profits → entry until zero profits; excess capacity; product variety valued by consumers.",monopolistic competition: many firms + differentiated products + free entry; SR profits → entry → LR zero profit; excess capacity
"The Coase theorem: if property rights are well-defined and transaction costs are zero, private bargaining leads to efficient outcomes regardless of initial rights assignment.",Coase theorem: well-defined property rights + zero transaction costs → efficient private bargaining; initial assignment irrelevant
"Hyperinflation occurs when monthly inflation exceeds 50%; destroys store-of-value function of money; caused by excessive money printing; historical examples: Weimar, Zimbabwe.",hyperinflation: >50% monthly inflation; destroys money's store-of-value; cause: excessive money printing; Weimar/Zimbabwe
"The Okun's law: for every 1% unemployment above natural rate, GDP is ~2% below potential; inverse relationship between unemployment gap and output gap.",Okun's law: 1% ↑ unemployment above natural rate → ~2% ↓ GDP below potential; inverse U-output gap relationship
Externalities: negative externality → private cost < social cost → overproduction; positive externality → private benefit < social benefit → underproduction; Pigou tax/subsidy solution.,externalities: negative (private cost < social cost → overproduction); positive (private benefit < social → underproduction); Pigou tax/subsidy
"The velocity of money: MV = PQ (quantity theory); M = money supply, V = velocity, P = price level, Q = real output; ↑M → ↑P if V, Q constant.",quantity theory: MV=PQ; ↑M → ↑P if V+Q constant; velocity V = nominal GDP/M
"Price discrimination: 1st degree (perfect, different price per unit); 2nd degree (quantity discounts); 3rd degree (different price per market segment, e.g., student discounts).","price discrimination: 1st = different price per unit (perfect); 2nd = quantity discounts; 3rd = market segments (e.g., student)"
The Ricardian model of trade: comparative advantage based on relative labor productivity; even a less productive country benefits from specializing in its least-bad good.,Ricardian trade: comparative advantage = relative labor productivity; specialize in least-bad good; both countries benefit
Search and matching models: unemployment from matching frictions between job seekers and vacancies; Beveridge curve: inverse relationship between unemployment and vacancies.,search+matching: unemployment from friction; Beveridge curve: ↑ vacancies ↔ ↓ unemployment; matching efficiency
The Cobb-Douglas production function: Y = AK^α L^(1-α); constant returns to scale; elasticity of output w.r.t. capital = α; labor share = 1-α if competitive markets.,Cobb-Douglas: Y=AK^α L^(1-α); CRS; ∂Y/∂K elasticity=α; labor share=1-α (competitive)
"Moral hazard in insurance: insured parties take more risk knowing they're protected; reduced by deductibles, copayments, monitoring; health insurance and banking examples.",moral hazard: insurance → ↑ risk-taking; fix: deductibles + copayments + monitoring; health/banking examples
"The demand for money (Keynes): transaction motive (proportional to income); precautionary (buffer); speculative (inverse of interest rate); Md = L(Y, i).","money demand (Keynes): transaction motive (∝Y) + precautionary + speculative (inverse to i); Md=L(Y,i)"
The natural monopoly problem: declining average cost curve means single firm serves market cheaper than multiple firms; solution: regulation or public ownership.,natural monopoly: ↓ average cost → single firm cheapest; solution: regulate (price = AC) or public ownership
Intertemporal budget constraint: C₁ + C₂/(1+r) = Y₁ + Y₂/(1+r); present value of consumption = present value of income; ↑r → substitution effect (save more) + income effect.,intertemporal budget: C₁ + C₂/(1+r) = Y₁ + Y₂/(1+r); ↑r → substitution effect (save more) + income effect
The Solow residual (TFP): growth unexplained by labor and capital inputs; measured as: TFP growth = output growth - α·capital growth - (1-α)·labor growth.,Solow residual (TFP): unexplained growth; TFP growth = output growth - α·K growth - (1-α)·L growth
Giffen goods: inferior goods with very strong income effect; demand rises when price rises; potatoes during Irish famine; violates normal demand law.,Giffen goods: inferior + strong income effect → demand ↑ when price ↑; Irish famine potatoes; violates normal demand
The Kaldor-Hicks efficiency criterion: a policy is efficient if gainers could compensate losers; weaker than Pareto; justifies policies with losers if net gain > 0.,Kaldor-Hicks: efficient if gainers could compensate losers; weaker than Pareto; net gain > 0 justifies policy
Rational expectations hypothesis: economic agents form expectations using all available information and the correct model; systematic errors impossible; Lucas critique implication.,rational expectations: agents use all available info + correct model; no systematic errors; → Lucas critique
The Laffer curve: tax revenue = 0 at 0% rate and 100% rate; peak at some optimal rate; basis of supply-side argument that ↓ tax rates can ↑ revenue.,Laffer curve: revenue=0 at 0% and 100% tax; peak in between; supply-side: ↓ tax rate may ↑ revenue
Stagflation (1970s) was caused by oil supply shocks shifting aggregate supply left; resulted in simultaneous ↑ inflation + ↑ unemployment; challenged Phillips curve.,stagflation: supply shock (OPEC oil) → AS shifts left → ↑ inflation + ↑ unemployment; challenged Phillips curve
"The principal-agent problem: separation of ownership (principal) and control (agent); agent may maximize own utility; solved by incentive contracts, monitoring, bonding.",principal-agent: owner ≠ manager interests; agent self-interested; fix: incentive contracts + monitoring + bonding
"Endogenous growth theory: R&D, human capital, and knowledge spillovers generate sustained growth internally; ∴ growth policy can have permanent level effects.",endogenous growth: R&D + human capital + knowledge spillovers → sustained growth internally; policy → permanent effects
"The theory of comparative advantage applies even when one country is absolutely better at everything; specialize based on relative opportunity costs, not absolute productivity.",comparative advantage: specialize on relative opportunity cost even if absolutely worse; trade benefits both parties
Currency crisis: speculative attack on fixed exchange rate when reserves insufficient to defend peg; first-generation model (fiscal deficits); second-generation (self-fulfilling).,currency crisis: speculative attack on peg; 1st gen = fiscal deficits drain reserves; 2nd gen = self-fulfilling expectations
Asymmetric information in credit markets: adverse selection (high-risk borrowers more likely to seek loans) + moral hazard (borrowers take more risk w/ OPM); → credit rationing.,credit markets: adverse selection (risky borrowers self-select) + moral hazard (OPM risk-taking) → credit rationing
"The efficient wage hypothesis: firms pay above market-clearing wages to reduce shirking, attract quality workers, and reduce turnover; explains involuntary unemployment.",efficiency wages: pay above market-clearing → ↓ shirking + ↑ worker quality + ↓ turnover; explains involuntary unemployment
Monetary policy transmission: ↓ policy rate → ↓ bank lending rates → ↑ investment + consumption → ↑ GDP + ↑ inflation; exchange rate channel → ↑ exports.,monetary transmission: ↓ rate → ↓ lending rates → ↑ investment+consumption → ↑ GDP+inflation; FX channel → ↑ exports
"The prisoner's dilemma: dominant strategy = defect for both; Nash equilibrium = (Defect, Defect); collectively worse than (Cooperate, Cooperate); resolved by repetition.","prisoner's dilemma: dominant strategy = defect for both → (D,D) Nash eq; collectively suboptimal; repetition → cooperation"
Diminishing marginal utility: each additional unit of a good provides less utility than the previous; implies convex indifference curves; basis of insurance demand.,diminishing marginal utility: each extra unit → less utility; → convex indifference curves; basis of insurance demand
Transfer pricing: multinational firms set prices for intra-firm transactions across borders; can shift profits to low-tax jurisdictions; OECD arm's-length standard as response.,transfer pricing: intra-firm prices across borders; profit shifting to low-tax jurisdictions; OECD arm's-length standard = fix
"International trade: gravity model predicts bilateral trade ∝ product of GDPs and ∝ 1/distance; borders, language, and cultural differences reduce trade.",gravity model: trade ∝ GDP₁×GDP₂/distance; ↓ borders/language/culture barriers → ↑ trade
"The fiscal multiplier is smaller (approaching 1 or below) in open economies, when monetary policy accommodates, and when output gap is small; larger during recessions.",fiscal multiplier: smaller in open economies + when MP accommodates + near full employment; larger during recessions
"Behavioral economics: systematic deviations from rationality include loss aversion (~2×), present bias (hyperbolic discounting), anchoring, availability heuristic.",behavioral econ: loss aversion ~2×; present bias (hyperbolic discounting); anchoring; availability heuristic; systematic irrationality
The Mundell-Fleming model in open economy: fiscal policy effective under fixed FX (crowding-in via capital inflows); monetary policy effective under floating FX.,Mundell-Fleming: fixed FX → fiscal policy effective (capital inflows); floating FX → monetary policy effective
Torts: negligence requires duty of care + breach + causation (but-for + proximate) + damages; res ipsa loquitur infers negligence from circumstances.,negligence: duty + breach + causation (but-for + proximate) + damages; res ipsa loquitur = inferred negligence
"The parol evidence rule: written contract representing final agreement cannot be contradicted by prior oral/written agreements; exceptions: fraud, ambiguity, condition precedent.","parol evidence rule: final written contract bars prior oral/written contradictions; exceptions: fraud, ambiguity, condition precedent"
"Copyright protects original expression (not ideas) automatically upon creation; duration = life + 70 years; fair use defense: purpose, nature, amount, market effect.",copyright: protects expression (not ideas); automatic at creation; duration=life+70 yrs; fair use: purpose+nature+amount+market effect
"Strict liability: defendant liable without proof of negligence; applies to abnormally dangerous activities, products liability (manufacturing defects), wild animals.",strict liability: no negligence needed; abnormally dangerous activities + products (mfg defects) + wild animals
The Chevron doctrine: courts defer to agency's reasonable interpretation of ambiguous statute; Step 1 = is statute clear?; Step 2 = is interpretation reasonable?,Chevron: Step 1 = statute clear? → apply it; Step 2 = ambiguous → agency interpretation reasonable? → defer
Equity of redemption: mortgagor's right to redeem property by paying off debt even after default; equitable mortgage prevents unconscionable foreclosure.,equity of redemption: mortgagor can redeem property after default by paying debt; equity prevents unconscionable foreclosure
"Tortious interference: intentional, improper interference with another's contract or business relationship; must prove existence of contract, knowledge, intentional inducement, damages.",tortious interference: prove contract existence + defendant's knowledge + intentional inducement + damages
The doctrine of unconscionability: courts may refuse to enforce contracts that are oppressively one-sided; procedural (bargaining unfairness) + substantive (terms).,unconscionability: procedural (unfair bargaining) + substantive (oppressive terms) → court may void contract
"The Foreign Sovereign Immunities Act: foreign governments immune from US court jurisdiction unless exceptions apply (commercial activity, tort in US, waiver).",FSIA: foreign govts immune from US courts; exceptions: commercial activity + tort in US + waiver
Promissory note vs. mortgage: note = personal promise to repay; mortgage = security interest in real property; foreclosure = remedy on default; non-recourse limits liability to collateral.,promissory note = personal promise; mortgage = security in realty; foreclosure on default; non-recourse = liability limited to collateral
The Uniform Commercial Code (UCC) Article 2 governs sale of goods; merchants have higher standard; acceptance can differ from offer (battle of the forms).,UCC Art 2: sale of goods; merchants = higher standard; battle of forms: acceptance can differ from offer
"Comparative fault (pure): plaintiff recovery reduced by own fault percentage; e.g., 30% at fault → recovers 70% of damages; all defendants share liability proportionally.",comparative fault (pure): recovery = damages × (1 - plaintiff's fault %); 30% at fault → 70% recovery
The dormant Commerce Clause prevents states from discriminating against or placing undue burdens on interstate commerce; three-part Pike balancing test.,dormant Commerce Clause: states cannot discriminate against interstate commerce; Pike test: state interest vs burden
"International law sources: treaties, customary international law (general practice + opinio juris), general principles, judicial decisions, scholarly writings.",intl law sources: treaties + customary intl law (practice + opinio juris) + general principles + judicial decisions + scholarship
The Fourth Amendment exclusionary rule: Mapp v. Ohio applied to states via 14th Amendment; good faith exception (US v. Leon); inevitable discovery doctrine.,exclusionary rule: Mapp v. Ohio (state application); good faith exception (Leon); inevitable discovery doctrine
"Labor law: National Labor Relations Act protects collective bargaining; NLRB adjudicates unfair labor practices; Section 7 rights = organize, collectively bargain, strike.",NLRA: protects collective bargaining; NLRB adjudicates ULPs; Section 7: organize + bargain + strike rights
"Securitization: pool assets (mortgages, loans) → special purpose vehicle (SPV) → issue tranched securities; senior tranche paid first; moral hazard in originate-to-distribute.",securitization: assets → SPV → tranched securities; senior tranche = paid first; originate-to-distribute → moral hazard
The rule of lenity: ambiguous criminal statutes interpreted in favor of the defendant; prevents prosecutorial abuse; applies only after other interpretation tools exhausted.,rule of lenity: ambiguous criminal statute → interpret in defendant's favor; last resort after other tools fail
Absolute liability vs. strict liability: strict = no fault needed but reasonable precautions may be defense; absolute = no defenses whatsoever; rare.,strict liability: no fault needed; precautions may be defense; absolute liability: no defenses; more extreme than strict
The doctrine of promissory estoppel elements: promise + reasonable reliance + detriment + injustice if not enforced; substitute for consideration in equity.,promissory estoppel: promise + reasonable reliance + detriment + injustice to not enforce; substitute for consideration
Regulatory taking: government regulation that goes too far = taking requiring compensation under 5th Amendment; Penn Central test: economic impact + investment-backed expectations + character of action.,regulatory taking: regulation → compensation if too far; Penn Central: economic impact + investment expectations + character
Vicarious liability: employer liable for employee torts committed within scope of employment; independent contractors generally excluded; non-delegable duties exception.,vicarious liability: employer liable for employee torts (scope of employment); independent contractors excluded; non-delegable duties exception
Securities law: Rule 10b-5 prohibits fraud in securities transactions; insider trading requires material non-public information + breach of duty + trading; Dirks test for tippee liability.,Rule 10b-5: prohibit securities fraud; insider trading = material non-public info + duty breach + trade; Dirks = tippee liability
